Match-Up,Minute,Player,Squad,xG,Distance,Body Part,Player.1,Event,input_dir,crop_dir,output_dir,dist,angle,player_dist,ball
"Tottenham Hotspur vs. Aston Villa Match Report – Saturday August 10, 2019",90,Harry Kane,Tottenham,0.05,20.0,Right Foot,Moussa Sissoko,Pass (Live),./image/train/12.png,./inference/cropped/train/12_match_cropped.png,./inference/output/train/12_match_mapped.png,1597.4908450441899,87.52446839581704,[     85.094      401.15      166.03       187.1      223.22      42.544         138      241.24      12.042      124.45],"[1596, -69]"
"Newcastle United vs. Arsenal Match Report – Sunday August 11, 2019",58.0,Pierre-Emerick Aubameyang,Arsenal,0.49,11.0,Right Foot,Ainsley Maitland-Niles,Pass (Live),./image/train/13.png,./inference/cropped/train/13_match_cropped.png,./inference/output/train/13_match_mapped.png,97.29337079164233,77.535067157935,[     89.196      354.15      49.163      252.24      180.81      223.06      90.802       141.9      225.34       311.3],"[95, 21]"
"Manchester United vs. Chelsea Match Report – Sunday August 11, 2019",65,Anthony Martial,Manchester Utd,0.61,4.0,Right Foot,Andreas Pereira,Pass (Live),./image/train/14.png,,Failed,,,,
"Manchester United vs. Chelsea Match Report – Sunday August 11, 2019",67,Marcus Rashford,Manchester Utd,0.27,20.0,Right Foot,Paul Pogba,Pass (Live),./image/train/15.png,,Failed,,,,
"Manchester United vs. Chelsea Match Report – Sunday August 11, 2019",81,Daniel James,Manchester Utd,0.11,14.0,Right Foot,Anthony Martial,Pass (Live),./image/train/16.png,./inference/cropped/train/16_match_cropped.png,./inference/output/train/16_match_mapped.png,132.00378782444085,-37.30394827798343,[     521.58      332.42      481.92      244.48      476.51      218.92      265.84      456.51      398.99       414.2      143.74],"[-80, -105]"
"Norwich City vs. Newcastle United Match Report – Saturday August 17, 2019",32,Teemu Pukki,Norwich City,0.04,15.0,Right Foot,Marco Stiepermann,Pass (Live),./image/train/17.png,./inference/cropped/train/17_match_cropped.png,./inference/output/train/17_match_mapped.png,166.01204775557707,58.79948539601937,[        118      274.63      219.08      143.01      168.18      75.664      170.84      83.738      164.84      377.96      114.91      30.067      116.28      106.07      97.801      488.07      107.91],"[142, 86]"
"Norwich City vs. Newcastle United Match Report – Saturday August 17, 2019",63,Teemu Pukki,Norwich City,0.06,17.0,Right Foot,Todd Cantwell,Pass (Live),./image/train/18.png,./inference/cropped/train/18_match_cropped.png,./inference/output/train/18_match_mapped.png,1778.5409750691717,71.03530444228511,[     447.37      503.29      551.07      173.51      1180.3      432.41      306.01      84.006      262.88      259.05      348.21      411.11],"[1682, -578]"
"Norwich City vs. Newcastle United Match Report – Saturday August 17, 2019",75,Teemu Pukki,Norwich City,0.31,14.0,Left Foot,Marco Stiepermann,Pass (Live),./image/train/19.png,./inference/cropped/train/19_match_cropped.png,./inference/output/train/19_match_mapped.png,1601.9987515600628,87.13759477388822,[     122.64      138.03      94.541      116.02      128.41      122.29      160.33      251.38       224.4      229.17],"[1600, 80]"
"Aston Villa vs. Bournemouth Match Report – Saturday August 17, 2019",71,Douglas Luiz,Aston Villa,0.02,28.0,Right Foot,Jack Grealish,Pass (Live),./image/train/20.png,./inference/cropped/train/20_match_cropped.png,./inference/output/train/20_match_mapped.png,404.00495046471895,89.71635984424164,[     295.36       244.4      252.04      170.84      262.74      273.65      92.957      309.09      27.857      194.73      107.69      274.45      369.11      159.03       312.2       297.2      216.11      246.47      236.46      195.92],"[404, -2]"
"Brighton & Hove Albion vs. West Ham United Match Report – Saturday August 17, 2019",61,Javier Hernández,West Ham,0.32,16.0,Right Foot,Manuel Lanzini,Pass (Live),./image/train/21.png,./inference/cropped/train/21_match_cropped.png,./inference/output/train/21_match_mapped.png,900.6203417644973,86.56255940217346,[     129.62      109.37      240.29      332.13      256.16       176.6      190.26      287.56      187.07      322.02       102.3      74.202      15.524],"[899, -54]"
"Southampton vs. Liverpool Match Report – Saturday August 17, 2019",45+1,Sadio Mané,Liverpool,0.04,19.0,Right Foot,James Milner,Pass (Live),./image/train/22.png,,Failed,,,,
"Everton vs. Watford Match Report – Saturday August 17, 2019",10,Bernard,Everton,0.05,15.0,Right Foot,Lucas Digne,Pass (Live),./image/train/23.png,./inference/cropped/train/23_match_cropped.png,./inference/output/train/23_match_mapped.png,237.60471375795558,44.317939606827345,[     219.37      189.02      70.178      254.16      245.55      126.75      224.88      158.62      285.22      152.12      22.361],"[166, 170]"
"Manchester City vs. Tottenham Hotspur Match Report – Saturday August 17, 2019",20,Raheem Sterling,Manchester City,0.18,4.0,Head,Kevin De Bruyne,Pass (Live),./image/train/24.png,./inference/cropped/train/24_match_cropped.png,./inference/output/train/24_match_mapped.png,1920.8198770316806,83.12287163219997,[     622.59      332.05      772.92      419.91      606.47      592.07      701.23      534.65      606.55      509.49      434.95      180.32      239.64      189.71      265.14      647.34      128.69       781.8      261.72],"[1907, -230]"
"Manchester City vs. Tottenham Hotspur Match Report – Saturday August 17, 2019",23,Érik Lamela,Tottenham,0.03,28.0,Left Foot,Tanguy Ndombele,Pass (Live),./image/train/25.png,./inference/cropped/train/25_match_cropped.png,./inference/output/train/25_match_mapped.png,422.0675301418009,85.92405502606306,[     399.21      339.03      118.95      334.83      12.083      165.08      140.07       50.04      116.66      119.55      101.97      79.756       152.2      618.19      76.538],"[421, 30]"
"Manchester City vs. Tottenham Hotspur Match Report – Saturday August 17, 2019",35,Sergio Agüero,Manchester City,0.47,4.0,Right Foot,Kevin De Bruyne,Pass (Live),./image/train/26.png,./inference/cropped/train/26_match_cropped.png,./inference/output/train/26_match_mapped.png,1827.7116840464746,88.40102565845915,[     394.38       314.4      300.71      288.39       533.6       231.7      229.14      47.297       177.1      148.08      111.13      34.525      189.13      470.28],"[1827, 51]"
"Sheffield United vs. Crystal Palace Match Report – Sunday August 18, 2019",47,John Lundstram,Sheffield Utd,0.45,9.0,Right Foot,Enda Stevens,Pass (Live),./image/train/27.png,./inference/cropped/train/27_match_cropped.png,./inference/output/train/27_match_mapped.png,70.80254232723568,-53.615648184164115,[     380.56      254.01      304.45      556.92      213.34      181.46      340.81       154.3      290.33      81.707         122      145.26      191.89      133.69      587.28],"[-57, 42]"
"Wolverhampton Wanderers vs. Manchester United Match Report – Monday August 19, 2019",27.0,Anthony Martial,Manchester Utd,0.08,10.0,Left Foot,Marcus Rashford,Pass (Live),./image/train/28.png,,Failed,,,,
"Wolverhampton Wanderers vs. Manchester United Match Report – Monday August 19, 2019",55.0,Rúben Neves,Wolves,0.02,25.0,Right Foot,João Moutinho,Pass (Live),./image/train/29.png,,Failed,,,,
"Aston Villa vs. Everton Match Report – Friday August 23, 2019",22,Wesley Moraes,Aston Villa,0.36,10.0,Right Foot,Jota,Pass (Live),./image/train/30.png,./inference/cropped/train/30_match_cropped.png,./inference/output/train/30_match_mapped.png,1784.6447825827972,86.33755179543442,[     366.86      293.32       297.4      109.11      262.46       303.2      385.25      190.91      267.24      445.58      100.45      58.464],"[1781, 114]"
"Norwich City vs. Chelsea Match Report – Saturday August 24, 2019",3,Tammy Abraham,Chelsea,0.07,14.0,Right Foot,César Azpilicueta,Pass (Live),./image/train/31.png,./inference/cropped/train/31_match_cropped.png,./inference/output/train/31_match_mapped.png,1695.5721748129745,87.53246415627393,[     326.59      194.26      299.04       30.61      141.11      123.47      31.575      202.03       71.12      118.53      123.97      540.71],"[1694, -73]"
"Norwich City vs. Chelsea Match Report – Saturday August 24, 2019",6,Todd Cantwell,Norwich City,0.71,4.0,Right Foot,Teemu Pukki,Pass (Live),./image/train/32.png,,Failed,,,,
"Norwich City vs. Chelsea Match Report – Saturday August 24, 2019",17,Mason Mount,Chelsea,0.27,15.0,Right Foot,Christian Pulisic,Pass (Live),./image/train/33.png,./inference/cropped/train/33_match_cropped.png,./inference/output/train/33_match_mapped.png,1654.481489772551,87.57513025352144,[     114.48      120.15      183.37      400.78      140.46      184.69      45.222      212.95       192.5       195.9      101.21       71.12],"[1653, -70]"
"Norwich City vs. Chelsea Match Report – Saturday August 24, 2019",31,Teemu Pukki,Norwich City,0.08,10.0,Right Foot,Emi Buendía,Pass (Live),./image/train/34.png,,Failed,,,,
"Norwich City vs. Chelsea Match Report – Saturday August 24, 2019",68,Tammy Abraham,Chelsea,0.07,23.0,Right Foot,Mateo Kovačić,Pass (Live),./image/train/35.png,,Failed,,,,
"Sheffield United vs. Leicester City Match Report – Saturday August 24, 2019",38,Jamie Vardy,Leicester City,0.3,11.0,Left Foot,James Maddison,Pass (Live),./image/train/36.png,./inference/cropped/train/36_match_cropped.png,./inference/output/train/36_match_mapped.png,1768.1911661356075,84.48286402101196,[     29.069      246.48      326.59      134.63      81.006      202.97      201.69],"[1760, -170]"
"Sheffield United vs. Leicester City Match Report – Saturday August 24, 2019",62,Oliver McBurnie,Sheffield Utd,0.07,10.0,Head,George Baldock,Pass (Live),./image/train/37.png,./inference/cropped/train/37_match_cropped.png,./inference/output/train/37_match_mapped.png,1871.7270100097396,86.90676806435462,[      467.6      588.82      461.01      397.44      339.09      276.27      226.34      115.16      272.72      458.19      201.81      113.04       136.4],"[1869, -101]"
"Sheffield United vs. Leicester City Match Report – Saturday August 24, 2019",70,Harvey Barnes,Leicester City,0.04,16.0,Right Foot,Çağlar Söyüncü,Pass (Live),./image/train/38.png,./inference/cropped/train/38_match_cropped.png,./inference/output/train/38_match_mapped.png,215.23243250030885,50.46710158808884,[     405.74      336.04      41.773      466.74      222.28      53.451      162.86      456.34       125.3      137.64      199.08      245.25       90.62      82.219      99.247      199.12      100.46      217.08      411.17],"[166, -137]"
"Manchester United vs. Crystal Palace Match Report – Saturday August 24, 2019",32,Jordan Ayew,Crystal Palace,0.24,17.0,Right Foot,Jeffrey Schlupp,Pass (Live),./image/train/39.png,./inference/cropped/train/39_match_cropped.png,./inference/output/train/39_match_mapped.png,213.45959805077868,71.98945659643945,[     62.177      68.154      182.78      291.24      41.183],"[203, 66]"
"Manchester United vs. Crystal Palace Match Report – Saturday August 24, 2019",89,Daniel James,Manchester Utd,0.07,14.0,Right Foot,Anthony Martial,Pass (Live),./image/train/40.png,./inference/cropped/train/40_match_cropped.png,./inference/output/train/40_match_mapped.png,251.85908758669004,64.85941709648384,[        157      110.49      137.28      31.064         128      202.41      129.76      24.166      347.09      335.63      226.93      186.75],"[228, 107]"
"Manchester United vs. Crystal Palace Match Report – Saturday August 24, 2019",90+3,Patrick van Aanholt,Crystal Palace,0.07,11.0,Left Foot,Patrick van Aanholt,Pass (Live),./image/train/41.png,./inference/cropped/train/41_match_cropped.png,./inference/output/train/41_match_mapped.png,1762.8184818636319,83.64904039488347,[     310.94      77.162      361.58      197.69       138.1      148.92      230.18      33.941      112.01      165.08      167.89],"[1752, -195]"
"Watford vs. West Ham United Match Report – Saturday August 24, 2019",17,Andre Gray,Watford,0.07,11.0,Right Foot,Will Hughes,Pass (Live),./image/train/42.png,./inference/cropped/train/42_match_cropped.png,./inference/output/train/42_match_mapped.png,159.17600321656528,46.78196059032663,[     236.32      563.72      483.99      101.39      67.186      234.03      379.14      286.57      36.878      289.84      282.23      329.97      262.64       198.6],"[116, -109]"
"Watford vs. West Ham United Match Report – Saturday August 24, 2019",64,Sébastien Haller,West Ham,0.73,5.0,Right Foot,Felipe Anderson,Pass (Live),./image/train/43.png,./inference/cropped/train/43_match_cropped.png,./inference/output/train/43_match_mapped.png,97.25224933131366,4.127591702511725,[      508.3      541.97      393.06      665.37      254.89       370.6      589.71      86.313      672.41      141.99      154.15       50.99      51.108],"[7, -97]"
"Brighton & Hove Albion vs. Southampton Match Report – Saturday August 24, 2019",55,Moussa Djenepo,Southampton,0.03,24.0,Right Foot,Danny Ings,Pass (Live),./image/train/44.png,./inference/cropped/train/44_match_cropped.png,./inference/output/train/44_match_mapped.png,1509.0400922440729,89.58234432638528,[      227.9      320.58      289.99      339.42      118.83      139.95       58.83      379.89       265.1      102.42      45.398      33.015],"[1509, -11]"
"Brighton & Hove Albion vs. Southampton Match Report – Saturday August 24, 2019",90+1,Nathan Redmond,Southampton,0.93,1.0,Right Foot,Sofiane Boufal,Pass (Live),./image/train/45.png,./inference/cropped/train/45_match_cropped.png,./inference/output/train/45_match_mapped.png,1879.1798743068744,89.20724044548874,[     317.18      76.059      214.14      68.505      136.48      235.37      234.72      177.12],"[1879, -26]"
"Bournemouth vs. Manchester City Match Report – Sunday August 25, 2019",43,Raheem Sterling,Manchester City,0.52,10.0,Right Foot,David Silva,Pass (Live),./image/train/46.png,./inference/cropped/train/46_match_cropped.png,./inference/output/train/46_match_mapped.png,933.7033790235527,54.59072388939031,[     393.56      166.37      318.06      371.27      170.84      241.06      139.92      168.88      207.51      332.58      94.626      543.68      277.24      267.48       157.7      58.822      76.551],"[761, -541]"
"Bournemouth vs. Manchester City Match Report – Sunday August 25, 2019",64,Sergio Agüero,Manchester City,0.46,10.0,Right Foot,David Silva,Pass (Live),./image/train/47.png,./inference/cropped/train/47_match_cropped.png,./inference/output/train/47_match_mapped.png,127.09445306542689,31.8142386978123,[        794      146.28      514.34      531.59      347.52      564.61      265.71      720.54      84.024       854.3      56.036      41.231       352.9      80.808],"[67, -108]"
"Wolverhampton Wanderers vs. Burnley Match Report – Sunday August 25, 2019",13,Ashley Barnes,Burnley,0.03,26.0,Right Foot,Dwight McNeil,Pass (Live),./image/train/48.png,./inference/cropped/train/48_match_cropped.png,./inference/output/train/48_match_mapped.png,1469.5176079244509,88.47923033885628,[     289.88      212.71      238.13         158      116.21      102.55      52.393      513.98],"[1469, 39]"
"Tottenham Hotspur vs. Newcastle United Match Report – Sunday August 25, 2019",27,Joelinton,Newcastle Utd,0.42,12.0,Left Foot,Christian Atsu,Pass (Live),./image/train/49.png,./inference/cropped/train/49_match_cropped.png,./inference/output/train/49_match_mapped.png,160.4400199451496,73.71122596994056,[     312.54      111.07      202.43      348.58      258.38       111.4      297.31      379.06      21.213      22.825],"[154, 45]"
"Southampton vs. Manchester United Match Report – Saturday August 31, 2019",10.0,Daniel James,Manchester Utd,0.05,16.0,Right Foot,Scott McTominay,Pass (Live),./image/train/50.png,./inference/cropped/train/50_match_cropped.png,./inference/output/train/50_match_mapped.png,1511.9341916895721,85.86578401245248,[     262.76      282.71      146.54      219.22      69.771      183.22      211.47       152.9      91.967      434.32      264.66      327.58      370.52      342.83],"[1508, 109]"
"West Ham United vs. Norwich City Match Report – Saturday August 31, 2019",24,Sébastien Haller,West Ham,0.53,7.0,Right Foot,Arthur Masuaku,Pass (Live),./image/train/51.png,./inference/cropped/train/51_match_cropped.png,./inference/output/train/51_match_mapped.png,1802.901272948688,88.18825146295423,[     151.92      255.33      46.098      43.417         157      36.056      242.17       186.1],"[1802, -57]"
"West Ham United vs. Norwich City Match Report – Saturday August 31, 2019",56,Andriy Yarmolenko,West Ham,0.06,11.0,Left Foot,Andriy Yarmolenko,Pass (Live),./image/train/52.png,./inference/cropped/train/52_match_cropped.png,./inference/output/train/52_match_mapped.png,250.88842141477951,10.100584305564178,[      244.1      76.059      302.08       241.6      143.06      309.01      221.02      268.49      164.61      317.04      97.637      110.11      58.694         105],"[44, -247]"
"Crystal Palace vs. Aston Villa Match Report – Saturday August 31, 2019",73,Jordan Ayew,Crystal Palace,0.11,10.0,Right Foot,Jeffrey Schlupp,Pass (Live),./image/train/53.png,./inference/cropped/train/53_match_cropped.png,./inference/output/train/53_match_mapped.png,118.25819210524064,48.08481233049759,[     268.84      216.38      218.83      226.93      478.88      191.04       245.7        43.6      230.38      304.18      147.87      16.492      39.319      564.26],"[88, 79]"
"Leicester City vs. Bournemouth Match Report – Saturday August 31, 2019",12,Jamie Vardy,Leicester City,0.08,26.0,Right Foot,Ben Chilwell,Pass (Live),./image/train/54.png,./inference/cropped/train/54_match_cropped.png,./inference/output/train/54_match_mapped.png,1540.776427649385,79.30267726071415,[     119.28      249.39       130.1],"[1514, -286]"
"Leicester City vs. Bournemouth Match Report – Saturday August 31, 2019",15,Callum Wilson,Bournemouth,0.37,11.0,Left Foot,Ryan Fraser,Pass (Live),./image/train/55.png,./inference/cropped/train/55_match_cropped.png,./inference/output/train/55_match_mapped.png,340.96920682079195,80.20617264155243,[     136.85      212.78       87.71      219.48      199.22      314.19      38.275      52.697      249.51      91.679      77.337      243.82],"[336, 58]"
"Leicester City vs. Bournemouth Match Report – Saturday August 31, 2019",41,Youri Tielemans,Leicester City,0.6,6.0,Left Foot,Jamie Vardy,Pass (Live),./image/train/56.png,./inference/cropped/train/56_match_cropped.png,./inference/output/train/56_match_mapped.png,1856.362572344099,85.64390428973712,[     326.11      116.76      417.43      54.129      32.894      198.01      167.06      155.68      103.02       166.3      38.639       170.5      35.228],"[1851, 141]"
"Leicester City vs. Bournemouth Match Report – Saturday August 31, 2019",73,Jamie Vardy,Leicester City,0.38,10.0,Left Foot,Youri Tielemans,Pass (Live),./image/train/57.png,./inference/cropped/train/57_match_cropped.png,./inference/output/train/57_match_mapped.png,133.00375934536586,36.43911042883539,[     203.71      170.19      172.41      217.22      121.24      258.41       290.3      321.24      86.313      205.38      108.85      225.06],"[79, -107]"
"Chelsea vs. Sheffield United Match Report – Saturday August 31, 2019",43.0,Tammy Abraham,Chelsea,0.29,15.0,Right Foot,Fikayo Tomori,Pass (Live),./image/train/58.png,./inference/cropped/train/58_match_cropped.png,./inference/output/train/58_match_mapped.png,574.1236800550905,48.95489655510561,[     177.34      202.54      259.21       135.1      68.469      45.277      66.038      81.707      259.37      822.64      101.14      36.674],"[433, 377]"
"Chelsea vs. Sheffield United Match Report – Saturday August 31, 2019",46.0,Callum Robinson,Sheffield Utd,0.45,10.0,Right Foot,Enda Stevens,Pass (Live),./image/train/59.png,./inference/cropped/train/59_match_cropped.png,./inference/output/train/59_match_mapped.png,58.309518948453004,59.03624346792648,[      182.7      342.15      476.96         138      228.06      283.64      206.87      124.62      423.34      541.21      118.83        40.2      153.44      28.862      253.21],"[50, 30]"
"Newcastle United vs. Watford Match Report – Saturday August 31, 2019",41.0,Fabian Schär,Newcastle Utd,0.43,10.0,Left Foot,Joelinton,Pass (Live),./image/train/60.png,./inference/cropped/train/60_match_cropped.png,./inference/output/train/60_match_mapped.png,406.1095911204265,57.36649715321482,[     170.29      276.16      229.17      350.04      295.83       152.3       144.9      529.76      419.03      184.71      113.15      301.04      96.835      730.21],"[342, 219]"
"Manchester City vs. Brighton & Hove Albion Match Report – Saturday August 31, 2019",2.0,Kevin De Bruyne,Manchester City,0.48,9.0,Right Foot,David Silva,Pass (Live),./image/train/61.png,./inference/cropped/train/61_match_cropped.png,./inference/output/train/61_match_mapped.png,752.772209901508,64.42212243416418,[      286.9      380.55      308.04       285.8      143.39      141.99      433.11      181.22],"[679, -325]"
"Manchester City vs. Brighton & Hove Albion Match Report – Saturday August 31, 2019",42.0,Sergio Agüero,Manchester City,0.09,12.0,Right Foot,Kevin De Bruyne,Pass (Live),./image/train/62.png,./inference/cropped/train/62_match_cropped.png,./inference/output/train/62_match_mapped.png,1541.462292759703,84.75172801683048,[      201.8      328.32      332.24      74.465      173.14      310.65      252.07      223.65      199.72      248.82      317.86      193.85],"[1535, 141]"
"Manchester City vs. Brighton & Hove Albion Match Report – Saturday August 31, 2019",55.0,Sergio Agüero,Manchester City,0.05,20.0,Right Foot,David Silva,Pass (Live),./image/train/63.png,./inference/cropped/train/63_match_cropped.png,./inference/output/train/63_match_mapped.png,351.9573837838894,56.355082803140206,[     307.12      158.14      155.08      242.59      99.985      80.957      389.32      186.78      250.84      48.836      174.07      291.45      141.55      359.61      804.32],"[293, 195]"
"Manchester City vs. Brighton & Hove Albion Match Report – Saturday August 31, 2019",79.0,Bernardo Silva,Manchester City,0.23,11.0,Left Foot,Sergio Agüero,Pass (Live),./image/train/64.png,./inference/cropped/train/64_match_cropped.png,./inference/output/train/64_match_mapped.png,409.5851559810243,58.172553423326896,[     312.54      78.746       224.8       357.4      218.16      144.78      141.48      337.65      270.22      242.07      279.96],"[348, 216]"
"Burnley vs. Liverpool Match Report – Saturday August 31, 2019",37,Sadio Mané,Liverpool,0.24,16.0,Right Foot,Roberto Firmino,Pass (Live),./image/train/65.png,,Failed,,,,
"Burnley vs. Liverpool Match Report – Saturday August 31, 2019",80,Roberto Firmino,Liverpool,0.07,22.0,Right Foot,Mohamed Salah,Pass (Live),./image/train/66.png,./inference/cropped/train/66_match_cropped.png,./inference/output/train/66_match_mapped.png,129.5569372901351,-42.184443315788776,[      135.8      407.08      353.59      395.46       476.6      273.53      531.59         524      357.61       293.9       408.7      632.46],"[-87, -96]"
"Everton vs. Wolverhampton Wanderers Match Report – Sunday September 1, 2019",12,Alex Iwobi,Everton,0.33,7.0,Head,Gylfi Sigurðsson,Pass (Live),./image/train/67.png,./inference/cropped/train/67_match_cropped.png,./inference/output/train/67_match_mapped.png,1298.0034668674812,67.24771052771167,[     137.71      55.444      37.577      105.55      111.76      47.854      163.38      137.87],"[1197, 502]"
"Everton vs. Wolverhampton Wanderers Match Report – Sunday September 1, 2019",75,Raúl Jiménez,Wolves,0.46,5.0,Head,Willy Boly,Pass (Live),./image/train/68.png,./inference/cropped/train/68_match_cropped.png,./inference/output/train/68_match_mapped.png,164.2224101637776,-13.020767305624677,[      921.5      624.41      653.13       667.7         619      495.69      456.81      705.07      166.01      400.14      374.77      227.56      425.02      464.15       208.2      450.31],"[-37, -160]"
"Everton vs. Wolverhampton Wanderers Match Report – Sunday September 1, 2019",80,Richarlison,Everton,0.08,9.0,Head,Lucas Digne,Pass (Live),./image/train/69.png,./inference/cropped/train/69_match_cropped.png,./inference/output/train/69_match_mapped.png,1923.3941353763144,83.49203674328477,[      467.7      204.88      256.22      288.85      358.79      102.73      238.32       368.8       118.7],"[1911, -218]"
"Arsenal vs. Tottenham Hotspur Match Report – Sunday September 1, 2019",71,Pierre-Emerick Aubameyang,Arsenal,0.5,10.0,Right Foot,Mattéo Guendouzi,Pass (Live),./image/train/70.png,./inference/cropped/train/70_match_cropped.png,./inference/output/train/70_match_mapped.png,55.80322571321482,53.74616226255522,[        434      106.78      365.55      432.83      227.71      417.48      509.17      573.85      312.61       260.1      604.34      98.031      183.92      74.626      48.703      525.95      458.76],"[45, -33]"
"Liverpool vs. Newcastle United Match Report – Saturday September 14, 2019",7,Jetro Willems,Newcastle Utd,0.04,17.0,Right Foot,Christian Atsu,Pass (Live),./image/train/71.png,./inference/cropped/train/71_match_cropped.png,./inference/output/train/71_match_mapped.png,258.6600085053737,81.77591886815594,[     317.25      200.34      44.777      88.459      73.553      122.05      195.78      288.23      104.71      225.11],"[256, 37]"
"Liverpool vs. Newcastle United Match Report – Saturday September 14, 2019",28,Sadio Mané,Liverpool,0.06,14.0,Right Foot,Andrew Robertson,Pass (Live),./image/train/72.png,./inference/cropped/train/72_match_cropped.png,./inference/output/train/72_match_mapped.png,720.6948036443721,46.180609495017386,[     185.65      971.43      471.62      90.089      209.39      180.36      124.84      105.55      323.37      62.586      45.607      981.22      126.57      409.25       233.7      428.39      358.21],"[520, -499]"
"Wolverhampton Wanderers vs. Chelsea Match Report – Saturday September 14, 2019",31,Fikayo Tomori,Chelsea,0.01,30.0,Right Foot,Willian,Pass (Live),./image/train/73.png,./inference/cropped/train/73_match_cropped.png,./inference/output/train/73_match_mapped.png,1381.941388047988,87.88504166957614,[     304.92      181.95      310.27      165.65      181.42      322.61      359.68      340.92      224.88      225.57      348.63      235.91      128.41      24.187      261.12      269.92      231.46       504.6],"[1381, 51]"
"Wolverhampton Wanderers vs. Chelsea Match Report – Saturday September 14, 2019",41,Tammy Abraham,Chelsea,0.08,10.0,Head,Marcos Alonso,Pass (Live),./image/train/74.png,./inference/cropped/train/74_match_cropped.png,./inference/output/train/74_match_mapped.png,1840.5917526708631,84.7942979434657,[     447.52      608.95      294.96      188.22      164.35      318.87      120.83      198.41      227.27      222.57      366.35],"[1833, -167]"
"Wolverhampton Wanderers vs. Chelsea Match Report – Saturday September 14, 2019",90+6,Mason Mount,Chelsea,0.06,12.0,Right Foot,Michy Batshuayi,Pass (Live),./image/train/75.png,./inference/cropped/train/75_match_cropped.png,./inference/output/train/75_match_mapped.png,166.35504200354134,59.27251338440033,[      191.8      169.61      200.96      173.65      51.624      213.46      27.313      226.77      20.396],"[143, 85]"
